timestamp,Twarm,Tcold,Tout,h=35mm,h=65mm,h=95mm,h=125mm,h=155mm,h=185mm,h=215mm,warm_massflow,cold_massflow,warm/cold
20230825_091216_741572,29.6475,29.154,26.9205,26.445,26.3895,26.1795,26.4855,26.2905,26.3385,26.5125,0.0,0.0,False
20230825_091217_252145,29.6475,29.0895,26.9205,26.4495,26.388,26.2575,26.508,26.2845,26.268,26.5335,0.0,0.0,False
20230825_091217_762558,29.6475,29.145,26.94,26.463,26.3775,26.3205,26.505,26.352,26.25,26.4345,0.0,0.0,False
20230825_091218_270721,29.667,29.073,26.9175,26.4585,26.3775,26.3235,26.409,26.37,26.2665,26.5095,0.0,0.0,False
20230825_091218_782740,29.664,29.0655,26.913,26.46,26.397,26.241,26.496,26.451,26.3445,26.5335,0.0,0.0,False
20230825_091219_303201,29.673,29.091,27.015,26.4555,26.373,26.3355,26.5065,26.37,26.34,26.523,0.0,0.0,False
